link,name,price,location
https://campsites.ph/campsite/angeles-campsite/223,Angeles Campsite,30,"san antonio, zambales"
https://campsites.ph/campsite/ahnung-spot-campsite/222,Ahnung Spot Campsite,100,"rodriguez (montalban), rizal"
https://campsites.ph/campsite/balite-falls-campsite-amadeo-cavite/221,"Balite Falls Campsite, Amadeo, Cavite",300,"amadeo, cavite"
https://campsites.ph/campsite/sentro-ng-bato-riverview-and-campsite/218,Sentro ng Bato Riverview and Campsite,160,"doña remedios trinidad, bulacan"
https://campsites.ph/campsite/the-buri-farm/214,The Buri Farm,7000,"pililla, rizal"
https://campsites.ph/campsite/greener-pasture-campsite/213,Greener Pasture Campsite,100,"maragondon, cavite"
https://campsites.ph/campsite/field-and-stream-campsite/212,Field and Stream Campsite,500,"tanay, rizal"
https://campsites.ph/campsite/splendor-hills/211,Splendor Hills,400," tanauan, batangas"
https://campsites.ph/campsite/marilaque-camp/210,Marilaque Camp,500,"tanay, rizal"
https://campsites.ph/campsite/francoelys-camping/202,FrancoEly's Camping,250,"davao city, davao del sur"
https://campsites.ph/campsite/mt-kulago/200,Mt. Kulago,2300,"impasug-ong, bukidnon"
https://campsites.ph/campsite/gulus/199,Gulus,300,"impasug-ong, bukidnon"
https://campsites.ph/campsite/panimahawa-ridge/198,Panimahawa Ridge,350,"impasug-ong, bukidnon"
https://campsites.ph/campsite/pine-ridge-bukidnon/197,Pine Ridge Bukidnon,300," malaybalay (capital), bukidnon"
https://campsites.ph/campsite/cliffside-camping-glamping/196,Cliffside Camping & Glamping,250,"impasug-ong, bukidnon"
https://campsites.ph/campsite/misty-mountain-haven/195,Misty Mountain Haven,250," malaybalay (capital), bukidnon"
https://campsites.ph/campsite/communal-ranch/194,Communal Ranch,200,"impasug-ong, bukidnon"
https://campsites.ph/campsite/ogaong-view-deck/193,Ogaong View Deck,100,"manolo fortich, bukidnon"
https://campsites.ph/campsite/highlights-park-chill/191,Highlights Park & Chill,50,"baungon, bukidnon"
https://campsites.ph/campsite/vista-del-paraiso/190,Vista del Paraiso,100,"balingoan, misamis oriental"
https://campsites.ph/campsite/morata-hikers-hub/189,Morata Hiker's Hub,100,"davao city, davao del sur"
https://campsites.ph/campsite/ben-cab-riverview-campsite/187,Ben-Cab RiverView Campsite,200,"nagcarlan, laguna"
https://campsites.ph/campsite/glue-varr-campsite-and-lodge-resort/186,Glue Varr Campsite and Lodge Resort,300,"kalayaan, laguna"
https://campsites.ph/campsite/larga-vista-campsite/184,Larga Vista Campsite,150,"rodriguez (montalban), rizal"
https://campsites.ph/campsite/papings-glampsite/183,Paping's Glampsite,3000,"magallanes, cavite"
https://campsites.ph/campsite/sbr-farm-camp/182,SBR Farm & Camp,500,"tanay, rizal"
https://campsites.ph/campsite/baluarte-ni-boss-ping/181,Baluarte ni Boss Ping,450,"norzagaray, bulacan"
https://campsites.ph/campsite/manariwa/180,Manariwa,300,"tanay, rizal"
https://campsites.ph/campsite/kang-jah-wa-campground/179,Kang - Jah Wa Campground,100,"palompon, leyte"
https://campsites.ph/campsite/darrporrt/178,Darrporrt,300," mati (capital), davao oriental"
https://campsites.ph/campsite/montana-conservation-camp/177,Montana Conservation Camp,3300,"gabaldon (bitulok & sabani), nueva ecija"
https://campsites.ph/campsite/m4-laiban-nature-and-campsite/176,M4 Laiban Nature and Campsite,,"tanay, rizal"
https://campsites.ph/campsite/maria-cristina-talim-camp-site/175,Maria Cristina Talim Camp Site,200,"lian, batangas"
https://campsites.ph/campsite/the-playground-at-cvm-ecopark/174,The Playground,200,"baras, rizal"
https://campsites.ph/campsite/hobbit-hill-of-albay/173,Hobbit Hill of Albay,700," ligao, albay"
https://campsites.ph/campsite/j-camp/171,J-Camp,100,"rodriguez (montalban), rizal"
https://campsites.ph/campsite/camp-jawie/170,Camp Jawie,1500,"cavinti, laguna"
https://campsites.ph/campsite/kamp-tralala/169,Kamp Tralala,350,"cavinti, laguna"
