name,brand,price,stock_count,product_rating,Availability,url
Camping Tent with Poles Arpenaz 4.1 F&B 4 Persons 1 Bedroom,QUECHUA,9990.0,17,4.65,Available,https://decathlon.ph/p/camping-tent-with-poles-arpenaz-4-1-f-b-4-persons-1-bedroom-quechua-8492957.html
Camping tent 2 Seconds Easy - 3-P - Fresh&Black,QUECHUA,10990.0,12,3.83,Unavailable,https://decathlon.ph/p/camping-tent-2-seconds-easy-3-p-fresh-black-quechua-8576110.html
Camping tent with poles - Arpenaz 4.1 - 4 Person - 1 Bedroom,QUECHUA,8690.0,27,4.07,Unavailable,https://decathlon.ph/p/camping-tent-with-poles-arpenaz-4-1-4-person-1-bedroom-quechua-8378237.html
Camping tent 2 Seconds - 3-Person - Fresh&Black,QUECHUA,5590.0,4,5.0,Unavailable,https://decathlon.ph/p/camping-tent-2-seconds-3-person-fresh-black-quechua-8357353.html
Camping Folding Armchair - Basic,QUECHUA,1290.0,390,4.58,Available,https://decathlon.ph/p/camping-folding-armchair-basic-quechua-8573879.html
FOLDING CAMPING CHAIR,QUECHUA,1290.0,78,4.69,Available,https://decathlon.ph/p/folding-camping-chair-quechua-8852991.html
Camping Comfortable Folding Table Chair,QUECHUA,1690.0,7,4.43,Available,https://decathlon.ph/p/camping-comfortable-folding-table-chair-quechua-8853003.html
Camping Comfortable Reclining Folding Armchair - steel,QUECHUA,2690.0,29,4.76,Available,https://decathlon.ph/p/camping-comfortable-reclining-folding-armchair-steel-quechua-8881982.html
Comfortable XL cover for picnicking and camping - 210 x 170 cm,QUECHUA,1290.0,28,4.89,Available,https://decathlon.ph/p/comfortable-xl-cover-for-picnicking-and-camping-210-x-170-cm-quechua-8789856.html
FOLDING CAMPING CHAIR MH500 - GREY,QUECHUA,2890.0,47,4.57,Available,https://decathlon.ph/p/folding-camping-chair-mh500-grey-quechua-8492643.html
Camping tripod,QUECHUA,320.0,218,4.45,Available,https://decathlon.ph/p/camping-tripod-quechua-8786302.html
Folding Camping Chair,QUECHUA,990.0,166,4.52,Available,https://decathlon.ph/p/folding-camping-chair-quechua-8852994.html
FOLDING CAMPING TABLE - 4 STOOLS - 4 TO 6 PEOPLE,QUECHUA,4690.0,5,3.2,Available,https://decathlon.ph/p/folding-camping-table-4-stools-4-to-6-people-quechua-8853007.html
Camping tripod,QUECHUA,390.0,218,4.45,Available,https://decathlon.ph/p/camping-tripod-quechua-8786303.html
PLAID XL 190x190 CHINA TIGER,QUECHUA,1290.0,22,4.64,Available,https://decathlon.ph/p/plaid-xl-190x190-china-tiger-quechua-8735286.html
Picnic comfort blanket - 170 x 140cm,QUECHUA,780.0,66,4.8,Available,https://decathlon.ph/p/picnic-comfort-blanket-170-x-140cm-quechua-8641939.html
FLEECE BLANKET - 150 x 130 CM,QUECHUA,550.0,25,4.36,Available,https://decathlon.ph/p/fleece-blanket-150-x-130-cm-quechua-8606450.html
Camping Comfortable Folding Armchair,QUECHUA,2890.0,13,4.69,Available,https://decathlon.ph/p/camping-comfortable-folding-armchair-quechua-8852999.html
MH500 hiker's camping cook set stainless steel + non-stick coating 4 p. 3.5 L,QUECHUA,2790.0,22,4.77,Available,https://decathlon.ph/p/mh500-hiker-s-camping-cook-set-stainless-steel-non-stick-coating-4-p-3-5-l-quechua-8492729.html
Inflatable Camping Mattress Air Comfort 120 cm 2 People,QUECHUA,1990.0,4,4.5,Available,https://decathlon.ph/p/inflatable-camping-mattress-air-comfort-120-cm-2-people-quechua-8648442.html
CAMPING PILLOW ULTIM COMFORT,QUECHUA,1590.0,24,4.83,Available,https://decathlon.ph/p/camping-pillow-ultim-comfort-quechua-8827568.html
4-person camp fire cooking pot - stainless steel -3 litres,QUECHUA,1490.0,0,0.0,Available,https://decathlon.ph/p/4-person-camp-fire-cooking-pot-stainless-steel-3-litres-quechua-8751076.html
